,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Positive Rate,7-day Average Positives,7-day Average Test Rate,14-day Average Positives,14-day Average Test Rate
163,2020-08-11,Albany,10,2624,1451,86206,0.006891798759476223,9.0,0.010265518023591871,4.0,0.0051327590117959355
164,2020-08-12,Albany,12,2636,1052,87258,0.011406844106463879,10.0,0.010287924324515283,5.0,0.0051439621622576415
165,2020-08-13,Albany,3,2639,1173,88431,0.0025575447570332483,9.0,0.009143569046363589,4.0,0.0045717845231817945
166,2020-08-14,Albany,4,2643,1109,89540,0.0036068530207394047,8.0,0.00845073953226203,4.0,0.004225369766131015
167,2020-08-15,Albany,11,2654,1142,90682,0.009632224168126095,8.0,0.007611932132138295,4.0,0.0038059660660691476
168,2020-08-16,Albany,3,2657,700,91382,0.004285714285714286,8.0,0.007257619906571476,4.0,0.003628809953285738
169,2020-08-17,Albany,4,2661,991,92373,0.004036326942482341,6.0,0.0060596151485764966,3.0,0.0030298075742882483
170,2020-08-18,Albany,14,2675,1197,93570,0.011695906432748537,7.0,0.006745916244758256,3.0,0.003372958122379128
171,2020-08-19,Albany,9,2684,1750,95320,0.005142857142857143,6.0,0.005851060964243008,3.0,0.002925530482121504
172,2020-08-20,Albany,7,2691,1443,96763,0.004851004851004851,7.0,0.006178698120524665,3.0,0.0030893490602623324
173,2020-08-21,Albany,2,2693,1336,98099,0.0014970059880239522,7.0,0.0058772914015653155,3.0,0.0029386457007826577
174,2020-08-22,Albany,6,2699,1263,99362,0.004750593824228029,6.0,0.0051799156381513055,3.0,0.0025899578190756527
175,2020-08-23,Albany,2,2701,490,99852,0.004081632653061225,6.0,0.005150761119200868,3.0,0.002575380559600434
176,2020-08-24,Albany,10,2711,972,100824,0.0102880658436214,7.0,0.006043866676506448,3.0,0.003021933338253224
177,2020-08-25,Albany,7,2718,1042,101866,0.0067178502879078695,6.0,0.005332715798672068,3.0,0.002666357899336034
178,2020-08-26,Albany,18,2736,1266,103132,0.014218009478672985,7.0,0.0066291661323600445,3.0,0.0033145830661800223
179,2020-08-27,Albany,10,2746,1264,104396,0.007911392405063292,7.0,0.0070663643543683935,3.0,0.0035331821771841967
180,2020-08-28,Albany,8,2754,1183,105579,0.006762468300929839,8.0,0.007818573256212092,4.0,0.003909286628106046
181,2020-08-29,Albany,10,2764,1519,107098,0.0065832784726793945,9.0,0.008080385348848,4.0,0.004040192674424
182,2020-08-30,Albany,6,2770,594,107692,0.010101010101010102,9.0,0.008940296412840696,4.0,0.004470148206420348
183,2020-08-31,Albany,16,2786,841,108533,0.019024970273483946,10.0,0.010188425617106775,5.0,0.005094212808553387
184,2020-09-01,Albany,5,2791,1116,109649,0.004480286738351254,10.0,0.00986877368145583,5.0,0.004934386840727915
185,2020-09-02,Albany,11,2802,1655,111304,0.006646525679758308,9.0,0.008787133138753733,4.0,0.004393566569376867
186,2020-09-03,Albany,17,2819,899,112203,0.018909899888765295,10.0,0.010358348493568306,5.0,0.005179174246784153
187,2020-09-04,Albany,4,2823,996,113199,0.004016064257028112,9.0,0.009966005058725202,4.0,0.004983002529362601
188,2020-09-05,Albany,8,2831,824,114023,0.009708737864077669,9.0,0.010412499257496382,4.0,0.005206249628748191
189,2020-09-06,Albany,2,2833,727,114750,0.002751031636863824,9.0,0.009362502334046915,4.0,0.0046812511670234576
190,2020-09-07,Albany,7,2840,665,115415,0.010526315789473684,7.0,0.008148408836331163,3.0,0.004074204418165582
191,2020-09-08,Albany,6,2846,499,115914,0.012024048096192385,7.0,0.009226089030308469,3.0,0.0046130445151542345
192,2020-09-09,Albany,13,2859,724,116638,0.017955801104972375,8.0,0.01084169980533905,4.0,0.005420849902669525
193,2020-09-10,Albany,23,2882,1326,117964,0.017345399698340876,9.0,0.010618199778135561,4.0,0.005309099889067781
194,2020-09-11,Albany,14,2896,1386,119350,0.010101010101010102,10.0,0.011487477755847273,5.0,0.0057437388779236365
195,2020-09-12,Albany,19,2915,844,120194,0.022511848341232227,12.0,0.013316493538297924,6.0,0.006658246769148962
196,2020-09-13,Albany,6,2921,555,120749,0.010810810810810811,12.0,0.014467890563147495,6.0,0.007233945281573747
197,2020-09-14,Albany,15,2936,797,121546,0.018820577164366373,13.0,0.01565278504527502,6.0,0.00782639252263751
198,2020-09-15,Albany,12,2948,997,122543,0.012036108324974924,14.0,0.0156545079351011,7.0,0.00782725396755055
199,2020-09-16,Albany,21,2969,1084,123627,0.01937269372693727,15.0,0.015856921166810367,7.0,0.007928460583405184
200,2020-09-17,Albany,10,2979,1229,124856,0.008136696501220505,13.0,0.014541392138650315,6.0,0.007270696069325158
201,2020-09-18,Albany,27,3006,1322,126178,0.02042360060514372,15.0,0.016016047924955118,7.0,0.008008023962477559
202,2020-09-19,Albany,10,3016,1147,127325,0.008718395815170008,14.0,0.014045554706946229,7.0,0.0070227773534731145
203,2020-09-20,Albany,8,3024,669,127994,0.01195814648729447,14.0,0.014209459803586752,7.0,0.007104729901793376
204,2020-09-21,Albany,13,3037,776,128770,0.01675257731958763,14.0,0.013914031254332646,7.0,0.006957015627166323
205,2020-09-22,Albany,6,3043,869,129639,0.006904487917146145,13.0,0.013180942624642821,6.0,0.006590471312321411
206,2020-09-23,Albany,10,3053,1519,131158,0.0065832784726793945,12.0,0.01135388330260598,6.0,0.00567694165130299
207,2020-09-24,Albany,10,3063,1348,132506,0.00741839762611276,12.0,0.01125126917759059,6.0,0.005625634588795295
208,2020-09-25,Albany,19,3082,1202,133708,0.015806988352745424,10.0,0.010591753141533688,5.0,0.005295876570766844
209,2020-09-26,Albany,13,3095,1091,134799,0.011915673693858845,11.0,0.011048507124203523,5.0,0.005524253562101762
210,2020-09-27,Albany,9,3104,789,135588,0.011406844106463879,11.0,0.010969749641227725,5.0,0.005484874820613862
211,2020-09-28,Albany,12,3116,939,136527,0.012779552715654952,11.0,0.010402174697808773,5.0,0.005201087348904386
212,2020-09-29,Albany,4,3120,925,137452,0.004324324324324324,11.0,0.010033579898834227,5.0,0.005016789949417113
213,2020-09-30,Albany,13,3133,1496,138948,0.008689839572192513,11.0,0.010334517198764673,5.0,0.005167258599382336
214,2020-10-01,Albany,20,3153,1343,140291,0.014892032762472078,12.0,0.011402179361101716,6.0,0.005701089680550858
215,2020-10-02,Albany,22,3175,1783,142074,0.012338754907459339,13.0,0.010906717440346561,6.0,0.0054533587201732805
216,2020-10-03,Albany,15,3190,1052,143126,0.014258555133079848,13.0,0.011241414788806706,6.0,0.005620707394403353
217,2020-10-04,Albany,11,3201,833,143959,0.013205282112845138,13.0,0.011498334504004027,6.0,0.005749167252002013
218,2020-10-05,Albany,17,3218,1061,145020,0.016022620169651274,14.0,0.01196162985457493,7.0,0.005980814927287465
